DATAFLOW,LAST UPDATE,freq,unit,s_adj,indic,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1994-01,5.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1994-02,5.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1994-03,4.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1994-04,4.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1994-05,4.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1994-06,3.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1994-07,3.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1994-08,3.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1994-09,3.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1994-10,3.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1994-11,4.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1994-12,4.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1995-01,4.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1995-02,4.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1995-03,4.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1995-04,4.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1995-05,3.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1995-06,3.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1995-07,3.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1995-08,3.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1995-09,4.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1995-10,4.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1995-11,4.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1995-12,4.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1996-01,5.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1996-02,6.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1996-03,6.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1996-04,5.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1996-05,4.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1996-06,3.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1996-07,3.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1996-08,4.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1996-09,4.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1996-10,4.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1996-11,4.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1996-12,4.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1997-01,5.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1997-02,5.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1997-03,5.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1997-04,5.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1997-05,4.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1997-06,3.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1997-07,3.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1997-08,4.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1997-09,4.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1997-10,4.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1997-11,4.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1997-12,5.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1998-01,5.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1998-02,6.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1998-03,6.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1998-04,5.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1998-05,4.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1998-06,3.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1998-07,3.9,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1998-08,4.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1998-09,4.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1998-10,4.2,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1998-11,4.1,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1998-12,4.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-01,5.0,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-02,5.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-03,5.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-04,4.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-05,3.6,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-06,3.4,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-07,3.3,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-08,3.5,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-09,3.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-10,3.7,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-11,3.8,
ESTAT:EI_LMHR_M(1.0),25/05/23 11:00:00,M,PC_ACT,NSA,LM-UN-T-TOT,AT,1999-12,4.3,
